club_short,player_type,name,notes_young,notes_unavail,notes_notam,notes_can
LA,INTERNATIONAL SLOT,Joseph Paintsil,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Gabriel Pec,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Riqui Puig,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Gino Vivi,FALSE,TRUE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Miki Yamane,FALSE,FALSE,FALSE,FALSE
LA,INTERNATIONAL SLOT,Maya Yoshida,FALSE,FALSE,FALSE,FALSE
LA,DESIGNATED PLAYERS,Joseph Paintsil,FALSE,FALSE,TRUE,FALSE
LA,DESIGNATED PLAYERS,Gabriel Pec ,TRUE,FALSE,TRUE,FALSE
LA,DESIGNATED PLAYERS,Riqui Puig,FALSE,FALSE,TRUE,FALSE
LA,U22 INITIATIVE PLAYERS,Julián Aude,FALSE,FALSE,FALSE,FALSE
LA,U22 INITIATIVE PLAYERS,Dejan Joveljic,FALSE,FALSE,FALSE,FALSE
LA,UNAVAILABLE PLAYERS,Aaron Bibout,FALSE,FALSE,FALSE,FALSE
LA,UNAVAILABLE PLAYERS,Gino Vivi,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Jordi Alba,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Tomás Avilés,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Yannick Bright,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Sergio Busquets,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Facundo Farías,FALSE,TRUE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Diego Gómez,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Lionel Messi,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Federico Redondo,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Matías Rojas,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Luis Suárez,FALSE,FALSE,FALSE,FALSE
MIA,INTERNATIONAL SLOT,Marcelo Weigandt,FALSE,FALSE,FALSE,FALSE
MIA,DESIGNATED PLAYERS,Sergio Busquets,FALSE,FALSE,TRUE,FALSE
MIA,DESIGNATED PLAYERS,Leonardo Campana,FALSE,FALSE,FALSE,FALSE
MIA,DESIGNATED PLAYERS,Lionel Messi,FALSE,FALSE,TRUE,FALSE
MIA,U22 INITIATIVE PLAYERS,Tomás Avilés,FALSE,FALSE,FALSE,FALSE
MIA,U22 INITIATIVE PLAYERS,Facundo Farías,FALSE,TRUE,FALSE,FALSE
MIA,U22 INITIATIVE PLAYERS,Diego Gómez,FALSE,FALSE,FALSE,FALSE
MIA,U22 INITIATIVE PLAYERS,Federico Redondo,FALSE,FALSE,FALSE,FALSE
MIA,U22 INITIATIVE PLAYERS,Emerson Rodríguez,FALSE,TRUE,FALSE,FALSE
MIA,UNAVAILABLE PLAYERS,Edison Azcona,FALSE,FALSE,FALSE,FALSE
MIA,UNAVAILABLE PLAYERS,Emerson Rodríguez,FALSE,FALSE,FALSE,FALSE
MIA,SEASON-ENDING INJURY LIST,Facundo Farías,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Hugo Bacharach,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Alejandro Bran,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Ethan Bristow,FALSE,TRUE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Morris Duggan,FALSE,TRUE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Victor Eriksson,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Sang Bin Jeong,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Mikael Marques,FALSE,TRUE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Teemu Pukki,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Emanuel Reynoso,FALSE,FALSE,FALSE,FALSE
MIN,INTERNATIONAL SLOT,Miguel Tapias,FALSE,FALSE,FALSE,FALSE
MIN,DESIGNATED PLAYERS,Robin Lod,FALSE,FALSE,FALSE,FALSE
MIN,DESIGNATED PLAYERS,Teemu Pukki,FALSE,FALSE,TRUE,FALSE
MIN,DESIGNATED PLAYERS,Emanuel Reynoso,FALSE,FALSE,TRUE,FALSE
MIN,U22 INITIATIVE PLAYERS,Bongokuhle Hlongwane,FALSE,FALSE,FALSE,FALSE
MIN,U22 INITIATIVE PLAYERS,Sang Bin Jeong,FALSE,FALSE,FALSE,FALSE
MIN,UNAVAILABLE PLAYERS,Ethan Bristow,FALSE,FALSE,FALSE,FALSE
MIN,UNAVAILABLE PLAYERS,Morris Duggan,FALSE,FALSE,FALSE,FALSE
