File Name,,SLOTS (8),Validation Link
cin.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=14&page=0
cin.pdf,1,Marco Angulo*,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=15&page=0
cin.pdf,2,Kevin Kelsy,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=16&page=0
cin.pdf,3,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=17&page=0
cin.pdf,,UNAVAILABLE PLAYERS,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=18&page=0
cin.pdf,NO.,NAME,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=19&page=0
cin.pdf,1,Joey Akpunonu,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=20&page=0
cin.pdf,2,Marco Angulo,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=21&page=0
cin.pdf,3,Álvaro Barreal,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=22&page=0
cin.pdf,4,Quimi Ordoñez,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=23&page=0
cin.pdf,5,Paul Walters,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=24&page=0
cin.pdf,,NOTES,https://journaliststudio.google.com/pinpoint-extract/preview?collection=8294f9a3a7ae3c59&job=7e571661551244c0&docid=c175f6da501eb78_8294f9a3a7ae3c59&schid=8006&row=25&page=0
